idCanton;nomCanton;idProvincia 
159;LIMÓN INDANZA;14
160;PALORA;14
161;SANTIAGO;14
162;SUCÚA;14
163;HUAMBOYA;14
164;SAN JUAN BOSCO;14
165;TAISHA;14
166;LOGROÑO;14
167;PABLO SEXTO;14
168;TIWINTZA;14
169;TENA;15
170;ARCHIDONA;15
171;EL CHACO;15
172;QUIJOS;15
173;CARLOS JULIO AROSEMENA TOLA;15
174;PASTAZA;16
175;MERA;16
176;SANTA CLARA;16
177;ARAJUNO;16
178;QUITO;17
179;CAYAMBE;17
180;MEJIA;17
181;PEDRO MONCAYO;17
182;RUMIÑAHUI;17
183;SAN MIGUEL DE LOS BANCOS;17
184;PEDRO VICENTE MALDONADO;17
185;PUERTO QUITO;17
186;AMBATO;18
187;BAÑOS DE AGUA SANTA;18
188;CEVALLOS;18
189;MOCHA;18
190;PATATE;18
191;QUERO;18
192;SAN PEDRO DE PELILEO;18
193;SANTIAGO DE PÍLLARO;18
194;TISALEO;18
195;ZAMORA;19
196;CHINCHIPE;19
197;NANGARITZA;19
198;YACUAMBI;19
199;YANTZAZA (YANZATZA);19
200;EL PANGUI;19
201;CENTINELA DEL CÓNDOR;19
202;PALANDA;19
203;PAQUISHA;19
204;SAN CRISTÓBAL;20
205;ISABELA;20
206;SANTA CRUZ;20
207;LAGO AGRIO;21
208;GONZALO PIZARRO;21
209;PUTUMAYO;21
210;SHUSHUFINDI;21
211;SUCUMBÍOS;21
212;CASCALES;21
213;CUYABENO;21
214;ORELLANA;22
215;AGUARICO;22
216;LA JOYA DE LOS SACHAS;22
217;LORETO;22
218;SANTO DOMINGO;23
219;SANTA ELENA;24
220;LA LIBERTAD;24
221;SALINAS;24
222;LAS GOLONDRINAS;25
223;MANGA DEL CURA;25
224;EL PIEDRERO;25
